pdf_company_name,entity_name,normalized_name,address,postcode,address_source,lat,lon,coord_precision
Napier Collision Repair Centre Limited,NAPIER COLLISION REPAIR CENTRE LIMITED,NAPIER COLLISION REPAIR CENTRE LIMITED,"250 Gloucester Street, Gloucester Court, Taradale, Napier, 4112, NEW ZEALAND",4112,address_for_service,-39.535303162194,176.848931711562,address_web
Commercial Ducting And Hood Service 2020 Limited,COMMERCIAL DUCTING AND HOOD SERVICE 2020 LIMITED,COMMERCIAL DUCTING AND HOOD SERVICE 2020 LIMITED,"Unit 12, 22 Highgate Parkway, Silverdale, Silverdale, 0932, NEW ZEALAND",0932,public_address,-36.611720145034,174.66129236606,address_web
George Weston Foods NZ Limited,GEORGE WESTON FOODS (NZ) LIMITED,GEORGE WESTON FOODS NZ LIMITED,"Bldg 6, Lvl 2, 666 Great South Road, Ellerslie, Auckland, 1051, NEW ZEALAND",1051,registered_office,-36.902443858284,174.807688926723,address_web
Dentons Patent Attorneys Australasia Limited,DENTONS PATENT ATTORNEYS AUSTRALASIA LIMITED,DENTONS PATENT ATTORNEYS AUSTRALASIA LIMITED,"18 Viaduct Harbour Avenue, Auckland Central, Auckland, 1010, NEW ZEALAND",1010,address_for_service,-36.845360876455,174.757768574524,address_web
Shelter Homes Limited,SHELTER HOMES LIMITED,SHELTER HOMES LIMITED,"163a Coatesville-riverhead Highway, Rd 3, Coatesville, 0793, NEW ZEALAND",0793,public_address,-36.715059330089,174.651334916545,address_web
v s naidu limited,V S NAIDU LIMITED,V S NAIDU LIMITED,"16 Spence Road, Henderson, Auckland, 0612, NEW ZEALAND",0612,address_for_service,-36.881282234975,174.61719467054,address_web
IBM New Zealand Limited,IBM NEW ZEALAND LIMITED,IBM NEW ZEALAND LIMITED,"12 Madden Street, Auckland Central, Auckland, 1010, NEW ZEALAND",1010,address_for_service,-36.842069331401,174.756723836596,address_web
RJ freightlines Limited,RJ FREIGHTLINES LIMITED,RJ FREIGHTLINES LIMITED,"10 Hansen Place, Takanini, Takanini, 2112, NEW ZEALAND",2112,address_for_service,-37.037964229024,174.920257886369,address_web
Adam-Pro Limited,ADAM-PRO LIMITED,ADAM PRO LIMITED,"Unit 2, 41 Ambler Avenue, Glen Eden, Auckland, 0602, NEW ZEALAND",0602,address_for_service,-36.917692467998,174.646643816795,address_web
Port Nelson Limited,PORT NELSON LIMITED,PORT NELSON LIMITED,"8 Vickerman Street, Port Nelson, Nelson, 7010, NEW ZEALAND",7010,public_address,-41.266523446546,173.276862135752,address_web
AI HOMES REAL ESTATE LIMITED,AI HOMES REAL ESTATE LIMITED,AI HOMES REAL ESTATE LIMITED,"682 Dominion Road, Mount Eden, Auckland, 1041, NEW ZEALAND",1041,public_address,-36.889969197516,174.74670462997,address_web
Te Wae Wae Dairies Limited,TE WAE WAE DAIRIES LIMITED,TE WAE WAE DAIRIES LIMITED,"101 Don Street, Invercargill, 9810, NEW ZEALAND",9810,address_for_service,-46.410914383089,168.35426687652,address_web
Cheema Brothers Limited,CHEEMA BROTHERS LIMITED,CHEEMA BROTHERS LIMITED,"6 Vos Close, Papamoa Beach, Papamoa, 3118, NEW ZEALAND",3118,address_for_service,-37.714010359586,176.29916662178,address_web
Piano Academy Christchurch Limited,PIANO ACADEMY CHRISTCHURCH LIMITED,PIANO ACADEMY CHRISTCHURCH LIMITED,"5 Eaglesome Avenue, Aidanfield, Christchurch, 8025, NEW ZEALAND",8025,address_for_service,-43.56833889781,172.568464080136,address_web
WORTHY OCEANIA LIMITED,WORTHY OCEANIA LIMITED,WORTHY OCEANIA LIMITED,"106 Lansford Crescent, Avondale, Auckland, 0600, NEW ZEALAND",0600,address_for_service,-36.904113203945,174.699017833126,address_web
Decho Group Limited,DECHO GROUP LIMITED,DECHO GROUP LIMITED,"18 Northcroft Street, Takapuna, Auckland, 0622, NEW ZEALAND",0622,address_for_service,-36.79005733076,174.771109211618,address_web
HAB 2013 LIMITED,HAB 2013 LIMITED,HAB 2013 LIMITED,"162 Dee Street, Invercargill, 9810, NEW ZEALAND",9810,address_for_service,-46.408245627027,168.34691980311,address_web
ASP ELECTRICAL LIMITED,ASP ELECTRICAL LIMITED,ASP ELECTRICAL LIMITED,"Flat 3, 15 Peverel Street, Riccarton, Christchurch, 8011, NEW ZEALAND",8011,address_for_service,-43.533236660777,172.60330128139,address_web
Ayrburn Precinct Limited,AYRBURN PRECINCT LIMITED,AYRBURN PRECINCT LIMITED,"Level 2, 11 Westhaven Drive, Cracker Bay, Auckland, 1010, NEW ZEALAND",1010,address_for_service,-36.843391715942,174.752622756526,address_web
Milk 31842 Limited,MILK 31842 LIMITED,MILK 31842 LIMITED,"Wicksteed Terrace, Wicksteed Street, Wanganui, 4541, NEW ZEALAND",4541,address_for_service,-39.929158797212,175.047375583561,address_web
HEATHTON FARMS LIMITED,HEATHTON FARMS LIMITED,HEATHTON FARMS LIMITED,"Mckenzie Strawbridge, 93 Maniapoto Street, Otorohanga, 3900, NEW ZEALAND",3900,address_for_service,-38.18786562336,175.210690999036,address_web
Kiwi Guru Contracting Limited,KIWI GURU CONTRACTING LIMITED,KIWI GURU CONTRACTING LIMITED,"31 White Street, Fenton Park, Rotorua, 3010, NEW ZEALAND",3010,address_for_service,-38.150822514738,176.261457780498,address_web
Kiwi Rangers Limited,KIWI RANGERS LIMITED,KIWI RANGERS LIMITED,"60b Twelfth Avenue, Tauranga South, Tauranga, 3112, NEW ZEALAND",3112,address_for_service,-37.699613267416,176.157044580279,address_web
GEO ELECTRICS LIMITED,GEO ELECTRICS LIMITED,GEO ELECTRICS LIMITED,"11 Owenbeg Rise, Dannemora, Auckland, 2016, NEW ZEALAND",2016,address_for_service,-36.933779309939,174.924716555944,address_web
Osborne Log Transport Limited,OSBORNE LOG TRANSPORT LIMITED,OSBORNE LOG TRANSPORT LIMITED,"250 Gloucester Street, Gloucester Court, Taradale, Napier, 4112, NEW ZEALAND",4112,address_for_service,-39.535303162194,176.848931711562,address_web
WADERS LIMITED,WADERS LIMITED,WADERS LIMITED,"12c Sunrise Avenue, Mairangi Bay, Auckland, 0630, NEW ZEALAND",0630,address_for_service,-36.736040407203,174.747566205798,address_web
NEW ZEALAND TDSL FORTUNA INTERNATIONAL GROUP LIMITED,NEW ZEALAND TDSL FORTUNA INTERNATIONAL GROUP LIMITED,NEW ZEALAND TDSL FORTUNA INTERNATIONAL GROUP LIMITED,"Apartment 104, 7 Rose Garden Lane, Albany, Auckland, 0632, NEW ZEALAND",0632,public_address,-36.725627778436,174.707005589598,address_web
Golden Contracting Limited,GOLDEN CONTRACTING LIMITED,GOLDEN CONTRACTING LIMITED,"Po Box 263, Silverdale, Silverdale, 0944, NEW ZEALAND",0944,public_address,-36.614577458,174.672689703,address_web
South American Oven limited,SOUTH AMERICAN OVEN LIMITED,SOUTH AMERICAN OVEN LIMITED,"10 Calais Terrace, Ostend, Waiheke Island, 1081, NEW ZEALAND",1081,address_for_service,-36.798590862564,175.050191634824,address_web
ATLAS COPCO (N.Z.) LIMITED,ATLAS COPCO( N.Z.) LIMITED,ATLAS COPCO N Z LIMITED,"8 George Bourke Drive, Mount Wellington, Auckland, 1060, NEW ZEALAND",1060,public_address,-36.925530343747,174.845505810736,address_web
Hud Studio Limited,HUD STUDIO LIMITED,HUD STUDIO LIMITED,"Level 11, 19 Victoria Street West, Auckland Central, Auckland, 1010, NEW ZEALAND",1010,public_address,-36.848661795654,174.764763440362,address_web
Canterbury Vehicle Compliance Limited,CANTERBURY VEHICLE COMPLIANCE LIMITED,CANTERBURY VEHICLE COMPLIANCE LIMITED,"10 Chert Street, Rolleston, Rolleston, 7614, NEW ZEALAND",7614,public_address,-43.605305312018,172.360672844742,address_web
M G M perera limited,M G M PERERA LIMITED,M G M PERERA LIMITED,"111 Hot Water Beach Road, Rd 1, Whitianga, 3591, NEW ZEALAND",3591,address_for_service,-36.9167,175.7,original
Xposure Motors Limited,XPOSURE MOTORS LIMITED,XPOSURE MOTORS LIMITED,"38 East Tamaki Road, Papatoetoe, Auckland, 2025, NEW ZEALAND",2025,address_for_service,-36.967661477145,174.860818039095,address_web
OHOPE BEACH CARE LIMITED,OHOPE BEACH CARE LIMITED,OHOPE BEACH CARE LIMITED,"Unit 10, 76 Portside Drive, Mount Maunganui, Mount Maunganui, 3116, NEW ZEALAND",3116,address_for_service,-37.658922731718,176.195861928256,address_web
Four Seasons Dairies Limited,FOUR SEASONS DAIRIES LIMITED,FOUR SEASONS DAIRIES LIMITED,"123 Union Street, Milton, 9220, NEW ZEALAND",9220,address_for_service,-46.1208,169.9694,original
ODOCS EYE CARE LIMITED,ODOCS EYE CARE LIMITED,ODOCS EYE CARE LIMITED,"25 Mailer Street, Mornington, Dunedin, 9011, NEW ZEALAND",9011,address_for_service,-45.881182712447,170.481020747908,address_web
Direct Control Limited,DIRECT CONTROL LIMITED,DIRECT CONTROL LIMITED,"Po Box 6253, Victoria Street, Auckland, 1142, NEW ZEALAND",1142,public_address,-37.105834709978,174.945359411003,address_web
O B Enterprises Limited,O B ENTERPRISES LIMITED,O B ENTERPRISES LIMITED,"5 Pah Road, Howick Auckland, NEW ZEALAND",,address_for_service,-36.900814164849,174.948613445716,original
Fastvisa Immigration Consultancy Limited,FASTVISA IMMIGRATION CONSULTANCY LIMITED,FASTVISA IMMIGRATION CONSULTANCY LIMITED,"Level 7 175 Queen Street, Auckland Cbd, Auckland, 1010, NEW ZEALAND",1010,address_for_service,-36.848090149857,174.765369954875,address_web
GREENHILLS DAIRY LIMITED,GREENHILLS DAIRY LIMITED,GREENHILLS DAIRY LIMITED,"39 George Street, Timaru, Timaru, 7910, NEW ZEALAND",7910,public_address,-44.397159756346,171.253506248469,address_web
ES PAINTING LIMITED,ES PAINTING LIMITED,ES PAINTING LIMITED,"38 Gardner Avenue, New Lynn, Auckland, 0600, NEW ZEALAND",0600,address_for_service,-36.916249565275,174.677911500762,address_web
Virscient Limited,VIRSCIENT LIMITED,VIRSCIENT LIMITED,"Skypoint Building, Level 1, 3 Melody Lane, Hamilton East, Hamilton, 3216, NEW ZEALAND",3216,registered_office,-37.777521768094,175.310646829532,address_web
BRUSH AND COLOURS LIMITED,BRUSH AND COLOURS LIMITED,BRUSH AND COLOURS LIMITED,"19 York Place, Cannons Creek, Porirua, 5024, NEW ZEALAND",5024,address_for_service,-41.13381621015,174.860041204309,address_web
LISA'S HAIR & NAIL LIMITED,LISA'S HAIR & NAIL LIMITED,LISA S HAIR NAIL LIMITED,"42 Vivian Street, Te Aro, Wellington, 6011, NEW ZEALAND",6011,public_address,-41.296280041009,174.779881711481,address_web
Karpentero Nz Limited,KARPENTERO NZ LIMITED,KARPENTERO NZ LIMITED,"23 Dissmeyer Drive, Clover Park, Auckland, 2019, NEW ZEALAND",2019,public_address,-36.980412237803,174.897638817736,original
YJC Building Solutions Limited,YJC BUILDING SOLUTIONS LIMITED,YJC BUILDING SOLUTIONS LIMITED,"12 Ranfurly Road, Alfriston, Auckland, 2105, NEW ZEALAND",2105,address_for_service,-37.014819950338,174.922850325202,address_web
King-Kong Garage Door Limited,KING-KONG GARAGE DOOR LIMITED,KING KONG GARAGE DOOR LIMITED,"79 San Valentino Drive, Henderson, Auckland, 0612, NEW ZEALAND",0612,address_for_service,-36.891848923122,174.610367694223,address_web
Elite Goat Milk Limited,ELITE GOAT MILK LIMITED,ELITE GOAT MILK LIMITED,"109 Ward Street, Hamilton Central, Hamilton, 3204, NEW ZEALAND",3204,address_for_service,-37.787573489778,175.278933690657,address_web
Savvy Security Limited,SAVVY SECURITY LIMITED,SAVVY SECURITY LIMITED,"Unit 7, 3 Inanga Street, Hobsonville, Auckland, 0618, NEW ZEALAND",0618,address_for_service,-36.807982449796,174.63279163215,address_web
I SHREE LIMITED,I SHREE LIMITED,I SHREE LIMITED,"47 Toanui Road, Hobsonville, Auckland, 0618, NEW ZEALAND",0618,address_for_service,-36.80173449535,174.665009991576,address_web
JK&L9 DECORATION LIMITED,JK&L9 DECORATION LIMITED,JK L9 DECORATION LIMITED,"7 Blyton Lane, Pakuranga Heights, Auckland, 2010, NEW ZEALAND",2010,address_for_service,-36.917549053634,174.887421110127,address_web
Autobits Wellington Limited,AUTOBITS WELLINGTON LIMITED,AUTOBITS WELLINGTON LIMITED,"5 Balgownie Grove, Nae Nae, Lower Hutt, 5011, NEW ZEALAND",5011,address_for_service,-41.206143233555,174.942923642203,address_web
Emaarat IT Limited,EMAARAT IT LIMITED,EMAARAT IT LIMITED,"34 Exler Place, Avondale, Auckland, 0600, NEW ZEALAND",0600,address_for_service,-36.903426468793,174.703250580795,address_web
Steel & Tube Holdings Limited,STEEL & TUBE HOLDINGS LIMITED,STEEL TUBE HOLDINGS LIMITED,"7 Bruce Roderick Drive, East Tamaki, Auckland, 2013, NEW ZEALAND",2013,public_address,-36.936341112916,174.888425094489,address_web
Kayel Limited,KAYEL LIMITED,KAYEL LIMITED,"14 Karamu Crescent, Wainuiomata, Lower Hutt, 5014, NEW ZEALAND",5014,address_for_service,-41.256014216345,174.936129606765,address_web
Pure Cleaning Services Limited,PURE CLEANING SERVICES LIMITED,PURE CLEANING SERVICES LIMITED,"757 Coatesville-riverhead Highway, Rd 3, Riverhead, 0793, NEW ZEALAND",0793,address_for_service,-36.749974063947,174.617991370437,address_web
Transport & General Engineering Co Limited,TRANSPORT & GENERAL ENGINEERING CO LIMITED,TRANSPORT GENERAL ENGINEERING CO LIMITED,"Level 3, 24 Anzac Parade, Hamilton East, Hamilton, 3216, NEW ZEALAND",3216,address_for_service,-37.790952416971,175.291267994461,address_web
UNICON CONSTRUCTION LIMITED,UNICON CONSTRUCTION LIMITED,UNICON CONSTRUCTION LIMITED,"139 The Drive, Epsom, Auckland, 1023, NEW ZEALAND",1023,address_for_service,-36.898928110906,174.767588225551,address_web
MALEY MECHANICAL LIMITED,MALEY MECHANICAL LIMITED,MALEY MECHANICAL LIMITED,"Level 1 Caro House, 137 Alexandra Street, Hamilton, 3204, NEW ZEALAND",3204,address_for_service,-37.788410060009,175.281960812994,address_web
The Red & Black Scaffolding Company Limited,THE RED & BLACK SCAFFOLDING COMPANY LIMITED,THE RED BLACK SCAFFOLDING COMPANY LIMITED,"99 Holly Road, Merivale, Christchurch, 8014, NEW ZEALAND",8014,address_for_service,-43.515594556702,172.63126104727,address_web
STAR REFRIGERATION & AIR CONDITIONING LIMITED,STAR REFRIGERATION & AIR CONDITIONING LIMITED,STAR REFRIGERATION AIR CONDITIONING LIMITED,"Flat 3, 1a Castor Bay Road, Castor Bay, Auckland, 0620, NEW ZEALAND",0620,address_for_service,-36.761476130579,174.757015628161,address_web
CONTAINER MOVERS LIMITED,CONTAINER MOVERS LIMITED,CONTAINER MOVERS LIMITED,"28 Empire Street, Frankton, Hamilton, 3204, NEW ZEALAND",3204,address_for_service,-37.786378496227,175.261472088872,address_web
DE VRIES ELECTRICAL LIMITED,DE VRIES ELECTRICAL LIMITED,DE VRIES ELECTRICAL LIMITED,"Floor 3, 47 Salisbury Street, Christchurch Central, Christchurch, 8013, NEW ZEALAND",8013,address_for_service,-43.5243755431,172.630778369353,address_web
PRECISE CONSULTING LIMITED,PRECISE CONSULTING LIMITED,PRECISE CONSULTING LIMITED,"49a Patons Road, Howick, Auckland, 2014, NEW ZEALAND",2014,address_for_service,-36.893851569339,174.918392326179,address_web
WGD LIMITED,WGD LIMITED,WGD LIMITED,"11 Ride Way, Rosedale, Auckland, 0632, NEW ZEALAND",0632,public_address,-36.752393165022,174.702590338282,address_web
Project Path Limited,PROJECT PATH LIMITED,PROJECT PATH LIMITED,"16 Hogarth Rise, West Harbour, Auckland, 0618, NEW ZEALAND",0618,address_for_service,-36.818596914792,174.633133949075,address_web
WELKIN HOMES LIMITED,WELKIN HOMES LIMITED,WELKIN HOMES LIMITED,"111a Salamanca Road, Sunnynook, Auckland, 0620, NEW ZEALAND",0620,address_for_service,-36.753060280696,174.730831652289,address_web
Green to Cream Limited,GREEN TO CREAM LIMITED,GREEN TO CREAM LIMITED,"93 Maniapoto Street, Otorohanga, Otorohanga, 3900, NEW ZEALAND",3900,address_for_service,-38.18786562336,175.210690999036,address_web
